

==========Samples: (1000, 500, 500) ===========
Pre-training layer 0, epoch 27, cost -95.121851181
Pre-training layer 0, epoch 28, cost -94.6708560257
Pre-training layer 0, epoch 29, cost -94.4466467819
Pre-training layer 0, epoch 30, cost -94.0532115479
Pre-training layer 0, epoch 30, representative training free energy -219.637078186
Pre-training layer 0, epoch 30, validation free energy -214.561850662
Pre-training layer 0, epoch 31, cost -93.7760569916
Pre-training layer 0, epoch 32, cost -93.4175488815
Pre-training layer 0, epoch 33, cost -93.1408719063
Pre-training layer 0, epoch 34, cost -92.874411705
Pre-training layer 0, epoch 35, cost -92.6521640129
Pre-training layer 0, epoch 35, representative training free energy -229.10883139
Pre-training layer 0, epoch 35, validation free energy -223.694407471
Pre-training layer 0, epoch 36, cost -92.4800659447
Pre-training layer 0, epoch 37, cost -92.1769954987
Pre-training layer 0, epoch 38, cost -91.8990457916
Pre-training layer 0, epoch 39, cost -91.6875388641
Pre-training layer 0, epoch 40, cost -91.5237446442
Pre-training layer 0, epoch 40, representative training free energy -236.821831573
Pre-training layer 0, epoch 40, validation free energy -231.574733887
Pre-training layer 0, epoch 41, cost -91.2744483032
Pre-training layer 0, epoch 42, cost -91.0159439087
Pre-training layer 0, epoch 43, cost -90.8220840836
Pre-training layer 0, epoch 44, cost -90.6658656158
Pre-training layer 0, epoch 45, cost -90.4936825523
Pre-training layer 0, epoch 45, representative training free energy -244.508270813
Pre-training layer 0, epoch 45, validation free energy -238.983147125
Pre-training layer 0, epoch 46, cost -90.3194712067
Pre-training layer 0, epoch 47, cost -90.123809967
Pre-training layer 0, epoch 48, cost -89.9452818413
Pre-training layer 0, epoch 49, cost -89.8204656143
Pre-training layer 0, epoch 50, cost -89.6215410461
Pre-training layer 0, epoch 50, representative training free energy -252.688100922
Pre-training layer 0, epoch 50, validation free energy -247.137455109
Pre-training layer 0, epoch 51, cost -89.5285053864
Pre-training layer 0, epoch 52, cost -89.3377315941
Pre-training layer 0, epoch 53, cost -89.2132394142
Pre-training layer 0, epoch 54, cost -89.0878606834
Pre-training layer 0, epoch 55, cost -88.9502097816
Pre-training layer 0, epoch 55, representative training free energy -259.355692169
Pre-training layer 0, epoch 55, validation free energy -253.851652649
Pre-training layer 0, epoch 56, cost -88.8196127129
Pre-training layer 0, epoch 57, cost -88.6214606476
Pre-training layer 0, epoch 58, cost -88.5477585793
Pre-training layer 0, epoch 59, cost -88.4347997322
Pre-training layer 0, epoch 60, cost -88.3060598488
Pre-training layer 0, epoch 60, representative training free energy -266.521548676
Pre-training layer 0, epoch 60, validation free energy -260.745871277
Pre-training layer 0, epoch 61, cost -88.2257378731
Pre-training layer 0, epoch 62, cost -87.9730819359
Pre-training layer 0, epoch 63, cost -87.9303501968
Pre-training layer 0, epoch 64, cost -87.7981793747
Pre-training layer 0, epoch 65, cost -87.6929062767
Pre-training layer 0, epoch 65, representative training free energy -273.939720764
Pre-training layer 0, epoch 65, validation free energy -268.160505737
Pre-training layer 0, epoch 66, cost -87.6738496971
Pre-training layer 0, epoch 67, cost -87.5404812469
Pre-training layer 0, epoch 68, cost -87.5401260834
Pre-training layer 0, epoch 69, cost -87.3299557114
Pre-training layer 0, epoch 70, cost -87.2183322067
Pre-training layer 0, epoch 70, representative training free energy -279.991496552
Pre-training layer 0, epoch 70, validation free energy -274.283451904
Pre-training layer 0, epoch 71, cost -87.1899623756
Pre-training layer 0, epoch 72, cost -87.1085573616
Pre-training layer 0, epoch 73, cost -87.0296564941
Pre-training layer 0, epoch 74, cost -86.9076715164
Pre-training layer 0, epoch 75, cost -86.9248355484
Pre-training layer 0, epoch 75, representative training free energy -282.975988861
Pre-training layer 0, epoch 75, validation free energy -276.873711334
Pre-training layer 0, epoch 76, cost -86.7732279701
Pre-training layer 0, epoch 77, cost -86.6268667526
Pre-training layer 0, epoch 78, cost -86.5582289772
Pre-training layer 0, epoch 79, cost -86.5627728004
Pre-training layer 0, epoch 80, cost -86.4853396149
Pre-training layer 0, epoch 80, representative training free energy -287.77872583
Pre-training layer 0, epoch 80, validation free energy -281.766996887
Pre-training layer 0, epoch 81, cost -86.4535980453
Pre-training layer 0, epoch 82, cost -86.3130032158
Pre-training layer 0, epoch 83, cost -86.256818573
Pre-training layer 0, epoch 84, cost -86.1969393082
Pre-training layer 0, epoch 85, cost -86.0780909042
Pre-training layer 0, epoch 85, representative training free energy -292.429750946
Pre-training layer 0, epoch 85, validation free energy -286.16522876
Pre-training layer 0, epoch 86, cost -86.0435488358
Pre-training layer 0, epoch 87, cost -85.9934209709
Pre-training layer 0, epoch 88, cost -85.9668846283
Pre-training layer 0, epoch 89, cost -85.8267735596
Pre-training layer 0, epoch 90, cost -85.9083917313
Pre-training layer 0, epoch 90, representative training free energy -296.143893921
Pre-training layer 0, epoch 90, validation free energy -290.098884399
Pre-training layer 0, epoch 91, cost -85.7595848465
Pre-training layer 0, epoch 92, cost -85.7315077934
Pre-training layer 0, epoch 93, cost -85.7289190979
Pre-training layer 0, epoch 94, cost -85.5427066116
Pre-training layer 0, epoch 95, cost -85.5495708427
Pre-training layer 0, epoch 95, representative training free energy -298.72393158
Pre-training layer 0, epoch 95, validation free energy -292.376860962
Pre-training layer 0, epoch 96, cost -85.4415655746
Pre-training layer 0, epoch 97, cost -85.4925856247
Pre-training layer 0, epoch 98, cost -85.3648680878
Pre-training layer 0, epoch 99, cost -85.3247769585
Pre-training layer 1, epoch 0, cost -47.7541473083
Pre-training layer 1, epoch 0, representative training free energy -5334.09819604
Pre-training layer 1, epoch 0, validation free energy -5292.58847021
Pre-training layer 1, epoch 1, cost -38.6441043777
Pre-training layer 1, epoch 2, cost -35.8006067295
Pre-training layer 1, epoch 3, cost -34.0590075817
Pre-training layer 1, epoch 4, cost -32.9573537331
Pre-training layer 1, epoch 5, cost -32.184995142
Pre-training layer 1, epoch 5, representative training free energy -7197.55771704
Pre-training layer 1, epoch 5, validation free energy -7126.42846313
Pre-training layer 1, epoch 6, cost -31.4390496578
Pre-training layer 1, epoch 7, cost -30.8854681053
Pre-training layer 1, epoch 8, cost -30.4964863319
Pre-training layer 1, epoch 9, cost -30.109077692
Pre-training layer 1, epoch 10, cost -29.810739296
Pre-training layer 1, epoch 10, representative training free energy -7883.1989707
Pre-training layer 1, epoch 10, validation free energy -7785.60341943
Pre-training layer 1, epoch 11, cost -29.4687593555
Pre-training layer 1, epoch 12, cost -29.2062807579
Pre-training layer 1, epoch 13, cost -28.9834964314
Pre-training layer 1, epoch 14, cost -28.7822084064
Pre-training layer 1, epoch 15, cost -28.5563999195
Pre-training layer 1, epoch 15, representative training free energy -8320.42088623
Pre-training layer 1, epoch 15, validation free energy -8210.56225293
Pre-training layer 1, epoch 16, cost -28.3650346966
Pre-training layer 1, epoch 17, cost -28.2109022903
Pre-training layer 1, epoch 18, cost -28.0826156845
Pre-training layer 1, epoch 19, cost -27.8564454594
Pre-training layer 1, epoch 20, cost -27.7497230892
Pre-training layer 1, epoch 20, representative training free energy -8647.58491992
Pre-training layer 1, epoch 20, validation free energy -8527.2015874
Pre-training layer 1, epoch 21, cost -27.6541280231
Pre-training layer 1, epoch 22, cost -27.4938629875
Pre-training layer 1, epoch 23, cost -27.4192664127
Pre-training layer 1, epoch 24, cost -27.324666153
Pre-training layer 1, epoch 25, cost -27.2292126637
Pre-training layer 1, epoch 25, representative training free energy -8961.60669922
Pre-training layer 1, epoch 25, validation free energy -8832.28264258
Pre-training layer 1, epoch 26, cost -27.0795794983
Pre-training layer 1, epoch 27, cost -27.0031042023
Pre-training layer 1, epoch 28, cost -26.886064045
Pre-training layer 1, epoch 29, cost -26.7429151077
Pre-training layer 1, epoch 30, cost -26.714534462
Pre-training layer 1, epoch 30, representative training free energy -9199.40390283
Pre-training layer 1, epoch 30, validation free energy -9069.43880566
Pre-training layer 1, epoch 31, cost -26.6724856548
Pre-training layer 1, epoch 32, cost -26.5945727615
Pre-training layer 1, epoch 33, cost -26.5044176559
Pre-training layer 1, epoch 34, cost -26.4324603882
Pre-training layer 1, epoch 35, cost -26.3601752415
Pre-training layer 1, epoch 35, representative training free energy -9442.46923877
Pre-training layer 1, epoch 35, validation free energy -9309.63451172
Pre-training layer 1, epoch 36, cost -26.3184116688
Pre-training layer 1, epoch 37, cost -26.1755745201
Pre-training layer 1, epoch 38, cost -26.1257947388
Pre-training layer 1, epoch 39, cost -26.1017186413
Pre-training layer 1, epoch 40, cost -26.0391300449
Pre-training layer 1, epoch 40, representative training free energy -9644.60133691
Pre-training layer 1, epoch 40, validation free energy -9507.36397168
Pre-training layer 1, epoch 41, cost -25.9495464706
Pre-training layer 1, epoch 42, cost -25.9080628624
Pre-training layer 1, epoch 43, cost -25.8351347771
Pre-training layer 1, epoch 44, cost -25.8403210716
Pre-training layer 1, epoch 45, cost -25.7465228043
Pre-training layer 1, epoch 45, representative training free energy -9828.21600586
Pre-training layer 1, epoch 45, validation free energy -9686.73073145
Pre-training layer 1, epoch 46, cost -25.7462075119
Pre-training layer 1, epoch 47, cost -25.6774579525
Pre-training layer 1, epoch 48, cost -25.6417541885
Pre-training layer 1, epoch 49, cost -25.5728308392
Pre-training layer 1, epoch 50, cost -25.5535884457
Pre-training layer 1, epoch 50, representative training free energy -9949.53003711
Pre-training layer 1, epoch 50, validation free energy -9806.93058789
Pre-training layer 1, epoch 51, cost -25.5214735031
Pre-training layer 1, epoch 52, cost -25.4895551968
Pre-training layer 1, epoch 53, cost -25.4427197895
Pre-training layer 1, epoch 54, cost -25.359859375
Pre-training layer 1, epoch 55, cost -25.3630093479
Pre-training layer 1, epoch 55, representative training free energy -10123.7140708
Pre-training layer 1, epoch 55, validation free energy -9981.12395068
Pre-training layer 1, epoch 56, cost -25.3246593876
Pre-training layer 1, epoch 57, cost -25.326438818
Pre-training layer 1, epoch 58, cost -25.2690500336
Pre-training layer 1, epoch 59, cost -25.2066586876
Pre-training layer 1, epoch 60, cost -25.2187311535
Pre-training layer 1, epoch 60, representative training free energy -10256.3557354
Pre-training layer 1, epoch 60, validation free energy -10116.7970391
Pre-training layer 1, epoch 61, cost -25.1449291534
Pre-training layer 1, epoch 62, cost -25.1001959476
Pre-training layer 1, epoch 63, cost -25.1126173553
Pre-training layer 1, epoch 64, cost -25.0971681309
Pre-training layer 1, epoch 65, cost -25.0852846661
Pre-training layer 1, epoch 65, representative training free energy -10380.5306787
Pre-training layer 1, epoch 65, validation free energy -10234.2827153
Pre-training layer 1, epoch 66, cost -25.0217281837
Pre-training layer 1, epoch 67, cost -24.9599634151
Pre-training layer 1, epoch 68, cost -24.9744022312
Pre-training layer 1, epoch 69, cost -24.9430272732
Pre-training layer 1, epoch 70, cost -24.9759262867
Pre-training layer 1, epoch 70, representative training free energy -10487.487749
Pre-training layer 1, epoch 70, validation free energy -10340.1961187
Pre-training layer 1, epoch 71, cost -24.9051319962
Pre-training layer 1, epoch 72, cost -24.8706531277
Pre-training layer 1, epoch 73, cost -24.8178513546
Pre-training layer 1, epoch 74, cost -24.8122626762
Pre-training layer 1, epoch 75, cost -24.7889321499
Pre-training layer 1, epoch 75, representative training free energy -10601.5625586
Pre-training layer 1, epoch 75, validation free energy -10447.905333
Pre-training layer 1, epoch 76, cost -24.7809202118
Pre-training layer 1, epoch 77, cost -24.7608029919
Pre-training layer 1, epoch 78, cost -24.7727439938
Pre-training layer 1, epoch 79, cost -24.7057050571
Pre-training layer 1, epoch 80, cost -24.6898671169
Pre-training layer 1, epoch 80, representative training free energy -10693.3162236
Pre-training layer 1, epoch 80, validation free energy -10541.7006782
Pre-training layer 1, epoch 81, cost -24.6627212143
Pre-training layer 1, epoch 82, cost -24.6489208183
Pre-training layer 1, epoch 83, cost -24.64097435
Pre-training layer 1, epoch 84, cost -24.5978985062
Pre-training layer 1, epoch 85, cost -24.5936887054
Pre-training layer 1, epoch 85, representative training free energy -10810.8397129
Pre-training layer 1, epoch 85, validation free energy -10659.1001235
Pre-training layer 1, epoch 86, cost -24.5921239777
Pre-training layer 1, epoch 87, cost -24.5661444073
Pre-training layer 1, epoch 88, cost -24.5269922009
Pre-training layer 1, epoch 89, cost -24.4983570881
Pre-training layer 1, epoch 90, cost -24.4853529034
Pre-training layer 1, epoch 90, representative training free energy -10847.2072251
Pre-training layer 1, epoch 90, validation free energy -10692.439249
Pre-training layer 1, epoch 91, cost -24.4854159698
Pre-training layer 1, epoch 92, cost -24.4828342457
Pre-training layer 1, epoch 93, cost -24.4619432049
Pre-training layer 1, epoch 94, cost -24.4726538982
Pre-training layer 1, epoch 95, cost -24.4233914738
Pre-training layer 1, epoch 95, representative training free energy -10985.7190059
Pre-training layer 1, epoch 95, validation free energy -10829.4159326
Pre-training layer 1, epoch 96, cost -24.3774099903
Pre-training layer 1, epoch 97, cost -24.378515131
Pre-training layer 1, epoch 98, cost -24.4231334763
Pre-training layer 1, epoch 99, cost -24.3705102558
Pre-training layer 2, epoch 0, cost -34.8928918839
Pre-training layer 2, epoch 0, representative training free energy -18820.7536523
Pre-training layer 2, epoch 0, validation free energy -18823.5884932
Pre-training layer 2, epoch 1, cost -27.9960293026
Pre-training layer 2, epoch 2, cost -25.9462763824
Pre-training layer 2, epoch 3, cost -24.8174355469
Pre-training layer 2, epoch 4, cost -24.052193985
Pre-training layer 2, epoch 5, cost -23.4425298376
Pre-training layer 2, epoch 5, representative training free energy -23185.5155937
Pre-training layer 2, epoch 5, validation free energy -22799.3569707
Pre-training layer 2, epoch 6, cost -23.0544641066
Pre-training layer 2, epoch 7, cost -22.6357792702
Pre-training layer 2, epoch 8, cost -22.3909222059
Pre-training layer 2, epoch 9, cost -22.166977828
Pre-training layer 2, epoch 10, cost -21.959150178
Pre-training layer 2, epoch 10, representative training free energy -24058.208623
Pre-training layer 2, epoch 10, validation free energy -23660.0513086
Pre-training layer 2, epoch 11, cost -21.7620484972
Pre-training layer 2, epoch 12, cost -21.6684755344
Pre-training layer 2, epoch 13, cost -21.5122682409
Pre-training layer 2, epoch 14, cost -21.3574284973
Pre-training layer 2, epoch 15, cost -21.2839951916
Pre-training layer 2, epoch 15, representative training free energy -25199.8051016
Pre-training layer 2, epoch 15, validation free energy -24808.8699688
Pre-training layer 2, epoch 16, cost -21.2087211294
Pre-training layer 2, epoch 17, cost -21.1230550537
Pre-training layer 2, epoch 18, cost -21.0182332172
Pre-training layer 2, epoch 19, cost -20.9519948778
Pre-training layer 2, epoch 20, cost -20.8991974669
Pre-training layer 2, epoch 20, representative training free energy -25606.6930879
Pre-training layer 2, epoch 20, validation free energy -25255.394084
Pre-training layer 2, epoch 21, cost -20.834188159
Pre-training layer 2, epoch 22, cost -20.7508572197
Pre-training layer 2, epoch 23, cost -20.704217638
Pre-training layer 2, epoch 24, cost -20.6219723749
Pre-training layer 2, epoch 25, cost -20.618137063
Pre-training layer 2, epoch 25, representative training free energy -25976.4636523
Pre-training layer 2, epoch 25, validation free energy -25673.1028535
Pre-training layer 2, epoch 26, cost -20.5783894358
Pre-training layer 2, epoch 27, cost -20.5287296867
Pre-training layer 2, epoch 28, cost -20.4687301035
Pre-training layer 2, epoch 29, cost -20.4466908369
Pre-training layer 2, epoch 30, cost -20.4331928921
Pre-training layer 2, epoch 30, representative training free energy -26408.3494473
Pre-training layer 2, epoch 30, validation free energy -26075.491582
Pre-training layer 2, epoch 31, cost -20.3496986732
Pre-training layer 2, epoch 32, cost -20.3375165253
Pre-training layer 2, epoch 33, cost -20.3050017681
Pre-training layer 2, epoch 34, cost -20.2948222389
Pre-training layer 2, epoch 35, cost -20.2496382427
Pre-training layer 2, epoch 35, representative training free energy -26717.3286445
Pre-training layer 2, epoch 35, validation free energy -26329.0605273
Pre-training layer 2, epoch 36, cost -20.2028418846
Pre-training layer 2, epoch 37, cost -20.2092202234
Pre-training layer 2, epoch 38, cost -20.1697444897
Pre-training layer 2, epoch 39, cost -20.1426454983
Pre-training layer 2, epoch 40, cost -20.1130722656
Pre-training layer 2, epoch 40, representative training free energy -26883.6667012
Pre-training layer 2, epoch 40, validation free energy -26531.410916
Pre-training layer 2, epoch 41, cost -20.0811637783
Pre-training layer 2, epoch 42, cost -20.1009537086
Pre-training layer 2, epoch 43, cost -20.0790012417
Pre-training layer 2, epoch 44, cost -20.0375785465
Pre-training layer 2, epoch 45, cost -19.9975208549
Pre-training layer 2, epoch 45, representative training free energy -27407.9610742
Pre-training layer 2, epoch 45, validation free energy -27007.2112871
Pre-training layer 2, epoch 46, cost -20.0174888744
Pre-training layer 2, epoch 47, cost -19.9686556787
Pre-training layer 2, epoch 48, cost -19.9875411224
Pre-training layer 2, epoch 49, cost -19.9621105862
Pre-training layer 2, epoch 50, cost -19.9300232306
Pre-training layer 2, epoch 50, representative training free energy -27702.4765586
Pre-training layer 2, epoch 50, validation free energy -27318.2783281
Pre-training layer 2, epoch 51, cost -19.8960079861
Pre-training layer 2, epoch 52, cost -19.8901916904
Pre-training layer 2, epoch 53, cost -19.8824183092
Pre-training layer 2, epoch 54, cost -19.8568246984
Pre-training layer 2, epoch 55, cost -19.8593086109
Pre-training layer 2, epoch 55, representative training free energy -27699.4226445
Pre-training layer 2, epoch 55, validation free energy -27273.3927969
Pre-training layer 2, epoch 56, cost -19.8446724768
Pre-training layer 2, epoch 57, cost -19.8498218517
Pre-training layer 2, epoch 58, cost -19.8225920706
Pre-training layer 2, epoch 59, cost -19.8163655043
Pre-training layer 2, epoch 60, cost -19.8094328356
Pre-training layer 2, epoch 60, representative training free energy -27872.3582734
Pre-training layer 2, epoch 60, validation free energy -27431.2087598
Pre-training layer 2, epoch 61, cost -19.801774189
Pre-training layer 2, epoch 62, cost -19.7738689709
Pre-training layer 2, epoch 63, cost -19.7901137114
Pre-training layer 2, epoch 64, cost -19.763703454
Pre-training layer 2, epoch 65, cost -19.7216567307
Pre-training layer 2, epoch 65, representative training free energy -28361.1690898
Pre-training layer 2, epoch 65, validation free energy -27940.7985176
Pre-training layer 2, epoch 66, cost -19.7370505114
Pre-training layer 2, epoch 67, cost -19.7049147053
Pre-training layer 2, epoch 68, cost -19.7269893599
Pre-training layer 2, epoch 69, cost -19.6952839098
Pre-training layer 2, epoch 70, cost -19.6585950422
Pre-training layer 2, epoch 70, representative training free energy -28241.1638984
Pre-training layer 2, epoch 70, validation free energy -27768.8712187
Pre-training layer 2, epoch 71, cost -19.6812690697
Pre-training layer 2, epoch 72, cost -19.7131840782
Pre-training layer 2, epoch 73, cost -19.6746067467
Pre-training layer 2, epoch 74, cost -19.6547323799
Pre-training layer 2, epoch 75, cost -19.6461210794
Pre-training layer 2, epoch 75, representative training free energy -28373.8263477
Pre-training layer 2, epoch 75, validation free energy -27889.0898359
Pre-training layer 2, epoch 76, cost -19.614857089
Pre-training layer 2, epoch 77, cost -19.6448486824
Pre-training layer 2, epoch 78, cost -19.6287162352
Pre-training layer 2, epoch 79, cost -19.6044649353
Pre-training layer 2, epoch 80, cost -19.6450514174
Pre-training layer 2, epoch 80, representative training free energy -28789.8922051
Pre-training layer 2, epoch 80, validation free energy -28334.4671738
Pre-training layer 2, epoch 81, cost -19.5852203636
Pre-training layer 2, epoch 82, cost -19.5681668911
Pre-training layer 2, epoch 83, cost -19.5436383486
Pre-training layer 2, epoch 84, cost -19.5679730959
Pre-training layer 2, epoch 85, cost -19.5819891701
Pre-training layer 2, epoch 85, representative training free energy -28724.1443301
Pre-training layer 2, epoch 85, validation free energy -28230.2778105
Pre-training layer 2, epoch 86, cost -19.5638517256
Pre-training layer 2, epoch 87, cost -19.5866078215
Pre-training layer 2, epoch 88, cost -19.5629950323
Pre-training layer 2, epoch 89, cost -19.5629543467
Pre-training layer 2, epoch 90, cost -19.49627349
Pre-training layer 2, epoch 90, representative training free energy -28781.2509258
Pre-training layer 2, epoch 90, validation free energy -28241.6958437
Pre-training layer 2, epoch 91, cost -19.5093551283
Pre-training layer 2, epoch 92, cost -19.526993124
Pre-training layer 2, epoch 93, cost -19.5166764507
Pre-training layer 2, epoch 94, cost -19.5307175217
Pre-training layer 2, epoch 95, cost -19.5118751221
Pre-training layer 2, epoch 95, representative training free energy -29420.2557441
Pre-training layer 2, epoch 95, validation free energy -28887.772832
Pre-training layer 2, epoch 96, cost -19.5439733028
Pre-training layer 2, epoch 97, cost -19.4810266457
Pre-training layer 2, epoch 98, cost -19.4686896133
Pre-training layer 2, epoch 99, cost -19.4726230116
The pretraining code for file dbn_loop.pyc ran for 2.42m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 1000/1000, validation error 11.200000 %
     epoch 1, minibatch 1000/1000, test error of best model 10.600000 %
epoch 2, minibatch 1000/1000, validation error 10.400000 %
     epoch 2, minibatch 1000/1000, test error of best model 9.400000 %
epoch 3, minibatch 1000/1000, validation error 10.200000 %
     epoch 3, minibatch 1000/1000, test error of best model 8.200000 %
epoch 4, minibatch 1000/1000, validation error 9.600000 %
     epoch 4, minibatch 1000/1000, test error of best model 7.200000 %
epoch 5, minibatch 1000/1000, validation error 9.400000 %
     epoch 5, minibatch 1000/1000, test error of best model 7.200000 %
epoch 6, minibatch 1000/1000, validation error 9.000000 %
     epoch 6, minibatch 1000/1000, test error of best model 7.000000 %
epoch 7, minibatch 1000/1000, validation error 8.400000 %
     epoch 7, minibatch 1000/1000, test error of best model 6.600000 %
epoch 8, minibatch 1000/1000, validation error 8.200000 %
     epoch 8, minibatch 1000/1000, test error of best model 6.200000 %
epoch 9, minibatch 1000/1000, validation error 7.800000 %
     epoch 9, minibatch 1000/1000, test error of best model 6.200000 %
epoch 10, minibatch 1000/1000, validation error 7.600000 %
     epoch 10, minibatch 1000/1000, test error of best model 6.400000 %
epoch 11, minibatch 1000/1000, validation error 7.400000 %
     epoch 11, minibatch 1000/1000, test error of best model 6.600000 %
epoch 12, minibatch 1000/1000, validation error 7.200000 %
     epoch 12, minibatch 1000/1000, test error of best model 6.000000 %
epoch 13, minibatch 1000/1000, validation error 7.200000 %
epoch 14, minibatch 1000/1000, validation error 7.200000 %
epoch 15, minibatch 1000/1000, validation error 7.200000 %
epoch 16, minibatch 1000/1000, validation error 7.400000 %
epoch 17, minibatch 1000/1000, validation error 7.200000 %
epoch 18, minibatch 1000/1000, validation error 7.000000 %
     epoch 18, minibatch 1000/1000, test error of best model 4.600000 %
epoch 19, minibatch 1000/1000, validation error 7.000000 %
epoch 20, minibatch 1000/1000, validation error 7.000000 %
epoch 21, minibatch 1000/1000, validation error 7.000000 %
epoch 22, minibatch 1000/1000, validation error 7.000000 %
epoch 23, minibatch 1000/1000, validation error 7.200000 %
epoch 24, minibatch 1000/1000, validation error 7.600000 %
epoch 25, minibatch 1000/1000, validation error 7.200000 %
epoch 26, minibatch 1000/1000, validation error 7.000000 %
epoch 27, minibatch 1000/1000, validation error 7.000000 %
epoch 28, minibatch 1000/1000, validation error 7.200000 %
epoch 29, minibatch 1000/1000, validation error 7.200000 %
epoch 30, minibatch 1000/1000, validation error 6.800000 %
     epoch 30, minibatch 1000/1000, test error of best model 4.400000 %
epoch 31, minibatch 1000/1000, validation error 6.800000 %
epoch 32, minibatch 1000/1000, validation error 6.800000 %
epoch 33, minibatch 1000/1000, validation error 6.800000 %
epoch 34, minibatch 1000/1000, validation error 6.800000 %
epoch 35, minibatch 1000/1000, validation error 6.800000 %
epoch 36, minibatch 1000/1000, validation error 6.800000 %
epoch 37, minibatch 1000/1000, validation error 6.800000 %
epoch 38, minibatch 1000/1000, validation error 6.600000 %
     epoch 38, minibatch 1000/1000, test error of best model 4.600000 %
epoch 39, minibatch 1000/1000, validation error 6.600000 %
epoch 40, minibatch 1000/1000, validation error 6.600000 %
epoch 41, minibatch 1000/1000, validation error 6.600000 %
epoch 42, minibatch 1000/1000, validation error 6.600000 %
epoch 43, minibatch 1000/1000, validation error 6.600000 %
epoch 44, minibatch 1000/1000, validation error 6.600000 %
epoch 45, minibatch 1000/1000, validation error 6.400000 %
     epoch 45, minibatch 1000/1000, test error of best model 4.400000 %
epoch 46, minibatch 1000/1000, validation error 6.400000 %
epoch 47, minibatch 1000/1000, validation error 6.400000 %
epoch 48, minibatch 1000/1000, validation error 6.400000 %
epoch 49, minibatch 1000/1000, validation error 6.400000 %
epoch 50, minibatch 1000/1000, validation error 6.400000 %
epoch 51, minibatch 1000/1000, validation error 6.200000 %
     epoch 51, minibatch 1000/1000, test error of best model 4.400000 %
epoch 52, minibatch 1000/1000, validation error 6.400000 %
epoch 53, minibatch 1000/1000, validation error 6.400000 %
epoch 54, minibatch 1000/1000, validation error 6.400000 %
epoch 55, minibatch 1000/1000, validation error 6.400000 %
epoch 56, minibatch 1000/1000, validation error 6.400000 %
epoch 57, minibatch 1000/1000, validation error 6.400000 %
epoch 58, minibatch 1000/1000, validation error 6.400000 %
epoch 59, minibatch 1000/1000, validation error 6.600000 %
epoch 60, minibatch 1000/1000, validation error 6.600000 %
epoch 61, minibatch 1000/1000, validation error 6.600000 %
epoch 62, minibatch 1000/1000, validation error 6.600000 %
epoch 63, minibatch 1000/1000, validation error 6.600000 %
epoch 64, minibatch 1000/1000, validation error 6.600000 %
epoch 65, minibatch 1000/1000, validation error 6.600000 %
epoch 66, minibatch 1000/1000, validation error 6.600000 %
epoch 67, minibatch 1000/1000, validation error 6.600000 %
epoch 68, minibatch 1000/1000, validation error 6.600000 %
epoch 69, minibatch 1000/1000, validation error 6.600000 %
epoch 70, minibatch 1000/1000, validation error 6.600000 %
epoch 71, minibatch 1000/1000, validation error 6.600000 %
epoch 72, minibatch 1000/1000, validation error 6.600000 %
epoch 73, minibatch 1000/1000, validation error 6.600000 %
epoch 74, minibatch 1000/1000, validation error 6.600000 %
epoch 75, minibatch 1000/1000, validation error 6.600000 %
epoch 76, minibatch 1000/1000, validation error 6.600000 %
epoch 77, minibatch 1000/1000, validation error 6.600000 %
epoch 78, minibatch 1000/1000, validation error 6.400000 %
epoch 79, minibatch 1000/1000, validation error 6.400000 %
epoch 80, minibatch 1000/1000, validation error 6.400000 %
epoch 81, minibatch 1000/1000, validation error 6.400000 %
epoch 82, minibatch 1000/1000, validation error 6.400000 %
epoch 83, minibatch 1000/1000, validation error 6.400000 %
epoch 84, minibatch 1000/1000, validation error 6.400000 %
epoch 85, minibatch 1000/1000, validation error 6.400000 %
epoch 86, minibatch 1000/1000, validation error 6.400000 %
epoch 87, minibatch 1000/1000, validation error 6.400000 %
epoch 88, minibatch 1000/1000, validation error 6.400000 %
epoch 89, minibatch 1000/1000, validation error 6.400000 %
epoch 90, minibatch 1000/1000, validation error 6.400000 %
epoch 91, minibatch 1000/1000, validation error 6.400000 %
epoch 92, minibatch 1000/1000, validation error 6.400000 %
epoch 93, minibatch 1000/1000, validation error 6.400000 %
epoch 94, minibatch 1000/1000, validation error 6.400000 %
epoch 95, minibatch 1000/1000, validation error 6.400000 %
epoch 96, minibatch 1000/1000, validation error 6.400000 %
epoch 97, minibatch 1000/1000, validation error 6.400000 %
epoch 98, minibatch 1000/1000, validation error 6.400000 %
epoch 99, minibatch 1000/1000, validation error 6.400000 %
epoch 100, minibatch 1000/1000, validation error 6.400000 %
epoch 101, minibatch 1000/1000, validation error 6.400000 %
Optimization complete with best validation score of 6.200000 %, obtained at iteration 51000, with test performance 4.400000 %
The fine tuning code for file dbn_loop.pyc ran for 0.55m


==========Samples: (15000, 500, 500) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -165.458557953
Pre-training layer 0, epoch 0, representative training free energy -105.472814987
Pre-training layer 0, epoch 0, validation free energy -102.690198227
Pre-training layer 0, epoch 1, cost -126.887313594
Pre-training layer 0, epoch 2, cost -118.610424561
Pre-training layer 0, epoch 3, cost -113.865185847
Pre-training layer 0, epoch 4, cost -110.58691478
Pre-training layer 0, epoch 5, cost -108.177234548
Pre-training layer 0, epoch 5, representative training free energy -161.556329376
